# Chapter 1. Numbers and linear algebra
Scalar|A scalar is one number. In this course, scalars are real numbers, which can lie anywhere on the number line.|x ∈ ℝ   means “x is a real number.”|A temperature reading is 24.5 °C. Its numerical value, 24.5, is a scalar.|One dial shows one number. Later, many dials will become a vector.|Which object is a scalar?|7.5 ~ (7.5, 2) ~ A table of 12 readings ~ A list of three temperatures|A scalar is a single number. A vector or matrix contains several scalar entries. The unit explains what a measured number means.
Linear transformation|A linear transformation preserves vector addition and scalar multiplication. In finite dimensions, it can be represented by a matrix.|T(ax + by) = aT(x) + bT(y)|For A = [[2, 0], [0, 3]], A(1, 2) = (2, 6). The first coordinate doubles; the second triples.|Stretch a sheet by fixed factors along its axes, keeping the origin pinned.|Which function is linear in the mathematical sense?|f(x) = 3x ~ f(x) = x + 3 ~ f(x) = x² ~ f(x) = max(0, x)|A linear map sends zero to zero and obeys superposition. The familiar straight-line function 3x + b is affine when b is nonzero.
Euclidean distance|The Euclidean norm measures vector length. The distance between two vectors is the norm of their difference.|‖x‖₂ = √(Σᵢ xᵢ²);   d(x, y) = ‖x − y‖₂|Between (0, 0) and (3, 4), distance = √(9 + 16) = 5.|Stretch a straight string between two pins instead of following the grid streets.|What is the distance from (1, 1) to (4, 5)?|5 ~ 7 ~ 25 ~ 4|The displacement is (3, 4), whose length is 5. With mixed physical features, choose units and scaling before interpreting distance.
Eigenvalues and eigenvectors|An eigenvector is a nonzero vector whose direction stays on the same line after a square matrix acts on it. Its eigenvalue gives the scaling, including a possible reversal.|Av = λv, with v ≠ 0|For A = [[2,0],[0,3]], A(1,0) = (2,0). Thus (1,0) is an eigenvector with eigenvalue 2. The other coordinate direction has eigenvalue 3.|Some arrows survive a stretch pointing along their original line, although their length or orientation can change.|For A = [[2,0],[0,3]] and v = (1,0), what is the eigenvalue?|2 ~ 3 ~ 0 ~ 5|The product is 2v. Eigenvalues describe a transformation's effect on special directions; an arbitrary vector need not be an eigenvector.
Singular value decomposition|Singular value decomposition factors a real matrix into two orthogonal changes of coordinates and nonnegative scale factors. Orthogonal directions are perpendicular, and the coordinate changes preserve lengths. It applies to rectangular as well as square matrices. In A = UΣVᵀ, V gives input directions, Σ their scales, and U the output directions. Rank counts the nonzero singular values, or independent directions retained.|A = UΣVᵀ;  Aₖ = Σᵢ₌₁ᵏ σᵢuᵢvᵢᵀ, with singular values ordered largest first|For A = [[3,0],[0,1]], the singular values are 3 and 1. Keeping only the first gives A₁ = [[3,0],[0,0]], a rank-one approximation.|Rotate the viewpoint, stretch along perpendicular axes, then rotate again. Keeping the strongest stretches compresses the transformation.|For diagonal A = [[3,0],[0,1]], which is its best rank-one approximation under squared entrywise error?|[[3,0],[0,0]] ~ [[0,0],[0,1]] ~ [[3,0],[0,1]] ~ [[1,0],[0,1]]|Keeping the largest singular component minimizes this error. The discarded entry contributes 1² = 1 to squared error. Rank counts independent directions.
# Chapter 2. Probability and calculus
Probability|Probability measures how likely an event is on a scale from 0 to 1. Probabilities of all possible, nonoverlapping outcomes add to 1.|0 ≤ P(A) ≤ 1;   Σᵢ P(Aᵢ) = 1|For a fair six-sided die, P(even) = 3/6 = 0.5.|Divide one whole pie among the possible outcomes. Larger slices mean greater probability.|A fair die is rolled. What is P(rolling more than 4)?|1/3 ~ 1/2 ~ 2/3 ~ 1/6|The favorable outcomes are 5 and 6: two of six equally likely outcomes. A probability describes uncertainty, not certainty about one trial.
Conditional probability|Conditional probability measures how likely A is when B is known to have occurred, provided P(B) > 0. Independent events satisfy P(A given B) = P(A): knowing B does not change the probability of A. Conditioning describes observed probabilities; it does not by itself establish a cause.|P(A ∣ B) = P(A ∩ B) / P(B)|Of four red balls, one is striped. P(striped ∣ red) = 1/4.|Once you enter the red-ball room, count only the balls inside that room.|Of 10 samples, 4 are deep and 3 of those are hot. P(hot given deep)?|3/4 ~ 3/10 ~ 4/10 ~ 4/3|Conditioning changes the relevant denominator to the four deep samples. P(A given B) generally differs from P(B given A).
Bayes’ theorem|Bayes’ theorem updates a hypothesis probability after observing evidence. It combines the prior probability with how likely the evidence is under each hypothesis.|P(H ∣ E) = P(E ∣ H)P(H) / P(E), with P(E) > 0|Of 100 parts, 10 are defective. A test flags 8 defective parts and 9 good parts. Among 17 flagged parts, 8 are defective: P(defective ∣ flagged) = 8/17.|Revise the odds on a suspect when a clue arrives, remembering how common each suspect was to begin with.|A test flags 8 defective and 9 good parts. What fraction of flagged parts are defective?|8/17 ~ 8/10 ~ 9/17 ~ 17/100|Condition on being flagged: there are 17 flagged parts, of which 8 are defective. Test sensitivity and the probability of a defect after a positive test use different denominators.
Expected value|The expected value of a discrete numerical outcome is its probability-weighted average.|E[X] = Σₓ x P(X = x)|A reward is 0 or 10 with equal probability. E[X] = 0.5 × 0 + 0.5 × 10 = 5.|The balancing point of possible rewards can sit where no individual reward exists.|A game pays 8 with probability 1/4 and 0 otherwise. Expected payout?|2 ~ 8 ~ 4 ~ 0.25|The weighted average is 8 × 1/4 + 0 × 3/4 = 2. You need not receive exactly 2 in any play.
Variance|Variance is the expected squared distance from the mean μ. Standard deviation σ is its square root.|μ = E[X];   Var(X) = E[(X − μ)²];   σ = √Var(X)|Values 2 and 6 are equally likely. Mean = 4. Variance = [(2−4)² + (6−4)²]/2 = 4. Standard deviation = √4 = 2.|The mean locates the center of the arrow hits; variance describes how widely they spread.|For equally likely 1 and 5, what is the variance?|4 ~ 2 ~ 3 ~ 16|The mean is 3. Both squared deviations are 4, so their average is 4. Standard deviation would be 2. This is a population calculation.
Covariance and correlation|Covariance measures joint variation around two means. Correlation divides covariance by both standard deviations, giving a unitless measure of linear association when both deviations are positive. Correlation lies between −1 and 1. Zero correlation rules out linear association, not every dependence. Association alone does not establish a cause.|Cov(X,Y) = E[(X−μX)(Y−μY)];  ρ = Cov(X,Y)/(σXσY)|The equally likely pairs (1,2) and (3,6) have means 2 and 4. Covariance = [(-1)(-2)+(1)(2)]/2 = 2. Standard deviations are 1 and 2, so correlation = 1.|Two dancers may move together, oppositely, or without a consistent linear rhythm.|For equally likely pairs (1,2) and (3,6), what is the covariance?|2 ~ 1 ~ 4 ~ 0|Subtract the respective means and average the products: [2+2]/2 = 2. This example uses population probabilities, not the sample covariance divisor n−1.
Monte Carlo estimation|Monte Carlo estimation approximates an expectation using random samples. Independent samples from the target distribution give a sample average whose sampling error usually shrinks as more samples are collected. A random seed fixes the starting state of a pseudorandom generator; the same seed and implementation reproduce the sequence of draws.|E[f(X)] ≈ (1/n)Σᵢ f(Xᵢ);  standard error ≈ s/√n for independent samples with finite variance; s is the sample standard deviation|Four simulated rewards are 0, 2, 4, and 6. Their sample average is 12/4 = 3, an estimate of expected reward rather than its exact value.|Taste many randomly chosen spoonfuls to estimate the average flavor of a large pot.|For sampled rewards 0, 2, 4, and 6, what is the Monte Carlo estimate of their expected reward?|3 ~ 12 ~ 6 ~ 4|Average the sampled outcomes. Sampling uncertainty remains; four observations do not establish the exact expectation.
Exponential and logarithm|An exponential raises a fixed base to a variable power. A logarithm gives the power needed to obtain a number. Natural logarithms use the base e ≈ 2.718.|log_b(bˣ) = x,   b > 0 and b ≠ 1;   ln(x) = log_e(x)\nFor a,b > 0: ln(ab) = ln(a) + ln(b)|2³ = 8, so log₂(8) = 3. Likewise, e² ≈ 7.389, so ln(7.389) ≈ 2.|An exponential climbs a multiplicative ladder; a logarithm tells you how many rungs you climbed.|What is ln(e³)?|3 ~ e ~ 9 ~ 1|The logarithm reverses exponentiation. In later probability losses, logarithms also turn products of probabilities into sums.
Derivative|The derivative is a function's instantaneous rate of change, defined by the limit of slopes over shrinking intervals.|f′(x) = limₕ→₀ [f(x + h) − f(x)] / h\nPower rule: for a positive integer n, d(xⁿ)/dx = n xⁿ⁻¹|For f(x) = x²: f(3.01) − f(3) = 0.0601. The slope over this interval is 0.0601/0.01 = 6.01, close to f′(3) = 6.|A speedometer measures the slope of your distance-versus-time journey at this instant.|For f(x) = x², what is the derivative at x = 4?|8 ~ 16 ~ 4 ~ 2|The derivative is 2x, so its value is 8. The function's value is 16. Local slope and height are different quantities.
Integral|A definite integral is the limit of sums of a function's values times small interval widths. It measures signed accumulation.|∫ₐᵇ f(t) dt = limₙ→∞ Σᵢ₌₁ⁿ f(a + iΔt)Δt\nΔt = (b − a)/n|A flow of 2 litres/second for 3 seconds delivers ∫₀³ 2 dt = 6 litres.|A derivative reads the tap's flow rate; an integral counts the water collected in the bucket.|A constant speed of 4 metres/second lasts 5 seconds. Integral of speed?|20 metres ~ 9 metres ~ 0.8 metres ~ 20 metres/second|For the constant speed, 4 × 5 = 20 metres. Integrating nonnegative speed gives distance; integrating signed velocity gives displacement. The displayed equal-width limit defines the integral for continuous functions, and more generally for Riemann-integrable functions.
Gradient|For a scalar function of several variables, the gradient collects its partial derivatives. Each partial varies one coordinate while holding the others fixed. When nonzero, the gradient points in the direction of fastest local increase among directions of equal Euclidean length.|∇L = (∂L/∂x, ∂L/∂y)|If L = x² + 3y², then ∇L = (2x, 6y). At (1, 2), it is (2, 12).|A hill's gradient is a local uphill compass, with one component for each direction.|For L = x² + y² at (2, 3), what is ∇L?|(4, 6) ~ 13 ~ (2, 3) ~ (−4, −6)|Differentiate with respect to each coordinate. The negative gradient points locally downhill; the gradient itself points toward fastest local increase under Euclidean geometry.
Hessian and curvature|The Hessian is the matrix of second partial derivatives of a scalar function. It describes local curvature. For smooth functions, its eigenvalues help classify a stationary point where the gradient is zero. All-positive eigenvalues (positive definite) imply a strict local minimum; mixed positive and negative eigenvalues imply a saddle, rising in some directions and falling in others.|Hᵢⱼ = ∂²f / (∂xᵢ∂xⱼ)|For f(x,y)=x²+3y², H=[[2,0],[0,6]]. At (0,0), the gradient is zero and both curvature directions are positive, so this is a strict local minimum.|A slope tells you which way a road tilts; curvature tells you how that slope changes.|For f(x,y)=x²+3y², what is the Hessian?|[[2,0],[0,6]] ~ [[1,0],[0,3]] ~ (2x,6y) ~ [[2,6],[6,2]]|Differentiate each gradient component again. The gradient is (2x,6y); the Hessian is its matrix of derivatives.
Chain rule|When one function feeds another, a change passes through both. The chain rule multiplies their local derivatives to find the derivative of the combined function.|If y = f(g(x)), then dy/dx = f′(g(x)) g′(x)|Let u = 2x and y = u². At x = 3, u = 6. The two slopes are du/dx = 2 and dy/du = 12, so dy/dx = 12×2 = 24. If y is a sum of two paths from x, compute each path’s derivative and add them: for y = (2x)² + (3x)², dy/dx = 8x + 18x.|Linked gears multiply their speed ratios. A change travels through every gear.|For y = (3x)², what is dy/dx at x = 2?|36 ~ 12 ~ 18 ~ 6|Let u = 3x. Then dy/dx = 2u × 3 = 18x = 36. Forgetting the inner derivative loses a factor of 3.
Optimization|An objective assigns a score to each choice. Optimization finds an allowed choice with the smallest or largest score. The allowed choices form the constraint set C.|x* = arg minₓ∈C L(x)|For L(x) = (x − 3)² and C = [0, 2], x* = 2 and L(x*) = 1.|Find the lowest campsite inside the fence. A lower valley outside it is unavailable.|Minimize (x − 5)² subject to 0 ≤ x ≤ 3. Which x wins?|3 ~ 5 ~ 0 ~ 2|The unconstrained minimum is 5, but it is not allowed. Among allowed inputs, 3 is closest to 5. The optimum input differs from its objective value.
Lagrange multipliers|Lagrange multipliers help find stationary candidates for differentiable optimization with equality constraints. Under a regularity condition, the objective gradient balances a multiple of each constraint gradient.|For g(x)=0: ℒ(x,λ)=f(x)+λg(x);  ∇f(x)+λ∇g(x)=0 and g(x)=0|Minimize x²+y² subject to x+y=2. Conditions 2x+λ=0 and 2y+λ=0 imply x=y. The constraint then gives x=y=1 and objective 2.|Find the lowest contour that touches the permitted path without leaving it.|What minimizes x²+y² subject to x+y=2?|(1,1) ~ (0,0) ~ (2,2) ~ (2,0)|At (1,1), the constraint holds and the objective is 2. Substituting y=2−x gives 2(x−1)²+2, proving this is the minimum.
Gradient descent|Gradient descent updates a variable or parameter vector in the direction opposite its gradient. The learning rate η sets the step size. A sufficiently small step can lower the loss.|θ⁺ = θ − η∇L(θ),   η > 0|For L(θ) = θ², θ = 3 and η = 0.1: θ⁺ = 3 − 0.1×6 = 2.4. The loss falls from 9 to 2.4² = 5.76.|Feel the ground's slope, take a short downhill step, then measure again.|For θ = 4, gradient 6, and learning rate 0.1, what is the next θ?|3.4 ~ 4.6 ~ 0.6 ~ −2|Subtract 0.1 × 6 from 4. Large steps can increase the loss, and nonconvex objectives need not lead to a global minimum.
# Chapter 3. Learning from data
Dataset and features|A dataset collects examples. Features describe each example numerically. In supervised learning, each input x is paired with a target answer y.|D = {(xᵢ, yᵢ)}ᵢ₌₁ᴺ|Two rooms have features (length, width): (2, 3) and (4, 3) metres. X = [[2, 3], [4, 3]] has two rows and two features per row.|Features are the clues on a detective's case card; the target is the answer being learned.|There are 20 samples and 4 features per sample. Shape of X?|20 × 4 ~ 4 × 4 ~ 20 × 20 ~ 80 × 1 only|By the row-per-sample convention, X has 20 rows and 4 columns. A measured target must not accidentally be included as an input feature.
Linear regression|Linear regression predicts a numerical target using a weighted sum of features plus an intercept. A residual is target minus prediction. Patterns in residuals can show relationships the fitted line has missed.|ŷ = w · x + b|A toy taxi fare model is ŷ = 2x + 3 dollars for x kilometres. At 5 km: ŷ = 2×5 + 3 = $13. The intercept is the starting fare.|A recipe assigns each ingredient a fixed contribution, then adds a fixed starting amount.|For ŷ = 2x + 3, what is predicted at x = 5?|13 ~ 10 ~ 8 ~ 25|Multiply 5 by 2 and add the intercept 3. Regression predicts quantities; a classifier predicts categories or their probabilities.
Mean squared error|Mean squared error is the average squared difference between predictions and targets. It penalizes larger errors more strongly.|MSE = (1/N) Σᵢ (ŷᵢ − yᵢ)²|Predictions (2, 5), targets (3, 3): MSE = (1 + 4)/2 = 2.5.|Large misses get disproportionately heavier penalty weights than small misses.|Errors are 1 and 3. What is their MSE?|5 ~ 2 ~ 4 ~ 10|Square first: 1 and 9. Then average: 5. The loss has squared target units, so it is not directly an average absolute error.
Supervised learning|Supervised learning uses examples with known answers to learn a rule for new inputs. A loss measures prediction error; training adjusts the rule to reduce that loss. Using the learned rule to make predictions is called inference.|Training objective: minimize (1/N) Σᵢ ℓ(f_θ(xᵢ), yᵢ)\nθ = model parameters; ℓ = loss for one example|Inputs 1, 2, 3 paired with targets 2, 4, 6 suggest f(x) = 2x; it predicts 8 for input 4.|A coach gives both a problem and a worked answer so a learner can improve its rule.|Which task is supervised learning?|Learn rock type from logs paired with rock labels ~ Compress logs without rock labels ~ Choose actions using only rewards ~ Store a file unchanged|Supervision supplies target answers for inputs. Those targets may be numeric or categorical. The learned rule still needs evaluation on unseen examples.
Parameter and hyperparameter|A parameter is fitted during learning. A hyperparameter configures the model or training procedure rather than being fitted by that procedure.|ŷ = wx + b;   w⁺ = w − η ∂L/∂w|In this update, w = 2 is a parameter; the chosen learning rate η = 0.01 is a hyperparameter.|The learner adjusts recipe quantities; the teacher chooses how large each adjustment may be.|Which is normally a hyperparameter in gradient descent?|Learning rate ~ Fitted regression weight ~ Fitted intercept ~ A learned neuron weight|Weights and biases are fitted by training. Learning rate and batch size usually configure that training. Other optimization procedures can themselves tune hyperparameters.
Training, validation and test|Training data fit parameters; validation data guide model choices; a held-out test estimates performance after those choices are fixed.|D = Dₜᵣₐᵢₙ ∪ Dᵥₐₗ ∪ Dₜₑₛₜ;   sets are disjoint|A 100-well study might use 70 wells to train, 15 to choose settings, and 15 for final testing.|Practice exercises, a mock exam, and a sealed final exam have different jobs.|Which set should choose the learning rate?|Validation set ~ Final test set repeatedly ~ All data including the final test ~ The alphabetic first well only|Use validation performance to choose settings. Reusing the final test to tune the model makes it part of the development process.
Data leakage|Data leakage occurs when model development uses information that would be unavailable in the intended prediction setting.|For new-well testing: train wells ∩ test wells = ∅|Training uses a well segment at depths 100, 101, 102 m. Testing uses 101, 102, 103 m from the same well. Two of three measurements are shared.|An exam is misleading when the practice sheet contains copies of its questions.|To measure generalization to unseen wells, how should you split data?|Keep each well entirely in one split ~ Randomly split overlapping windows ~ Normalize using all test values first ~ Put duplicate rows in every split|Nearby measurements and overlapping windows are strongly related. Split at the deployment-relevant group before creating windows and fitting preprocessing.
Normalization|Normalization rescales data to a chosen reference scale. Standardization, one common method, subtracts the mean μ and divides by the standard deviation σ.|Standardization: z = (x − μ)/σ,   σ > 0|Training data give μ = 100 and σ = 20. A new value x = 140 becomes z = 2.|Convert different measuring rulers into a common “distance from typical” scale.|With training mean 10 and standard deviation 2, what does 14 become?|2 ~ 7 ~ 4 ~ 12|Compute (14 − 10)/2 = 2. Fit the mean and scale using training data only, reuse them later, and handle constant features separately.
k-nearest neighbors|k-nearest neighbors predicts from the k closest stored training examples under a chosen distance. Classification commonly uses a vote; regression commonly averages their targets.|Regression: ŷ(x) = (1/k)Σᵢ∈Nₖ(x) yᵢ|The three nearest examples have targets 2, 4, and 9. An unweighted k=3 regressor predicts (2+4+9)/3 = 5.|Ask the nearby houses what usually happens on this street.|A k=3 regressor's nearest target values are 2, 4, and 9. What is its unweighted prediction?|5 ~ 4 ~ 9 ~ 15|Average the three targets. Neighbor selection depends on features, scaling, distance, and k; distance does not automatically imply task relevance.
Decision trees|A decision tree routes an input through feature tests to a leaf. A classification leaf predicts a class; a regression leaf often predicts the average training target in that leaf.|if feature ≤ threshold: take left branch; otherwise: take right branch|A tree predicts 2 when x≤5 and 8 otherwise. Input x=4 follows the left branch and receives prediction 2.|A sequence of signposts sends each traveler down one route to a destination.|A tree predicts 2 if x≤5, otherwise 8. What does it predict for x=6?|8 ~ 2 ~ 5 ~ 6|Since 6>5, use the right branch. The tree's prediction is the leaf output, not the input value or threshold.
Overfitting|Overfitting occurs when a model learns training-specific details that do not generalize to the intended new data. Underfitting is failing to learn useful patterns even in training data. Early stopping keeps a training stage with good validation performance instead of continuing as validation error worsens.|generalization gap = test error − training error|A model has 1% training error but 20% test error. Its measured gap is 19 percentage points.|Memorizing the practice exam can look like understanding until the questions change.|Training error falls while validation error steadily rises. What is the likely issue?|Overfitting ~ Guaranteed improvement on new data ~ The model is necessarily too small ~ Validation is no longer needed|The model may be fitting details that do not transfer. More representative data, regularization, or early stopping may help; first rule out a data mismatch.
Regularization|Regularization limits how a model fits its training data to help it generalize. L2 regularization adds a penalty for large weights to the prediction loss.|Lₜₒₜₐₗ = Ldata + λ‖w‖₂²,   λ ≥ 0|If Ldata = 2, w = (3, 4), and λ = 0.1, total loss = 2 + 0.1 × 25 = 4.5.|Charge rent for very large knobs so the model needs a good reason to turn them far.|Increasing λ in L2 regularization directly increases what?|The penalty on large weights ~ The dataset size ~ The number of labels ~ The test-set accuracy by a guaranteed amount|L2 adds a weight-size penalty. Too much regularization can underfit. It is a preference, not a guarantee of better predictions.
Random forests|A random forest combines decision trees trained with randomness in their data and/or feature choices. Standard classification forests average class probabilities; regression forests average predictions. A bootstrap sample draws training rows with replacement, so rows may repeat. Rows not drawn for a particular tree are its out-of-bag observations.|Regression: ŷ(x) = (1/T)Σₜ treeₜ(x)|Three regression trees predict 2, 4, and 6. Their average prediction is 4. Diversity can reduce variance compared with relying on one unstable tree.|Consult several differently trained judges, then combine their estimates.|Three regression trees predict 2, 4, and 6. What does their equally weighted forest predict?|4 ~ 12 ~ 6 ~ 2|Average all three tree predictions. Correlated trees share errors, so adding trees does not guarantee an arbitrary improvement.
Gradient boosting|Gradient boosting builds an additive model in stages. Each new learner aims to reduce the current loss, often by fitting negative gradients. For squared error, these are proportional to residuals: target minus prediction.|Fₘ(x) = Fₘ₋₁(x) + ηhₘ(x);  η is the learning rate|The current prediction is 4. A new learner outputs a correction of 2 and η=0.1. The updated prediction is 4+0.1×2 = 4.2.|An editor revises a draft by adding small corrections aimed at its remaining mistakes.|If F=4, a new learner outputs 2, and η=0.1, what is the updated prediction?|4.2 ~ 6 ~ 0.6 ~ 2.4|Scale the correction by the learning rate before adding it. The simple residual interpretation applies to squared error; other losses give different gradients.
Class imbalance, precision and recall|With rare positive cases, accuracy can hide many missed positives. Precision measures how many predicted positives are correct; recall measures how many actual positives are found.|precision = TP/(TP+FP);  recall = TP/(TP+FN)|A detector has 6 true positives, 2 false positives, and 4 false negatives. Precision is 6/8=0.75; recall is 6/10=0.6.|A fishing net can catch most fish yet collect debris, or catch only clean fish while missing many others.|With TP=6, FP=2, and FN=4, what is recall?|0.6 ~ 0.75 ~ 0.5 ~ 0.8|Recall divides true positives by all actual positives: 6/(6+4). Precision instead uses the predicted-positive denominator.
Probability calibration|A calibrated probability forecast agrees with observed event frequencies across comparable predictions. A score of 0.8 should correspond to about 80% positives among many cases assigned that probability.|Calibration target: P(Y=1 ∣ predicted probability=p) ≈ p|Among 100 held-out cases predicted at 0.8, only 60 are positive. Their observed frequency is 0.6, suggesting overconfidence in this group.|A weather forecaster's 80% promises should come true about eight times out of ten over many comparable days.|Among 100 cases predicted at 0.8, 60 are positive. What does this suggest for that group?|The probabilities are too high ~ The probabilities are too low ~ The model is perfectly calibrated ~ Every individual prediction is wrong|Observed frequency is 0.6, below the predicted 0.8. Calibration is assessed statistically across cases, not by demanding a fractional outcome on one case.
Causal inference|Causal inference asks how outcomes would change under interventions. Observed association can be distorted by confounders: variables that influence both the treatment or action and the outcome.|Average treatment effect: E[Y(1)−Y(0)]|In a hypothetical randomized trial, mean outcome is 12 in the treated group and 9 in the control group. The difference 12−9 = 3 estimates an average effect under the trial's assumptions.|Watching umbrellas and rain move together does not mean opening umbrellas causes rain.|A randomized trial has mean outcomes 12 for treatment and 9 for control. What is the difference-in-means estimate?|3 ~ 21 ~ 9 ~ 4/3|Subtract the control mean from the treatment mean. Random assignment helps make groups comparable; uncertainty and the trial's scope still matter.
Domain shift and adaptation|Domain shift occurs when deployment data differ from training data in ways that can affect predictions. Adaptation modifies a model or preprocessing for the target setting and requires appropriate evaluation.|source distribution Pₛ(X,Y) may differ from target distribution Pₜ(X,Y)|A model scores 90% on held-out source-site cases but 70% at a new site. The observed gap is 20 percentage points. Different geology, sensors, or label rules could matter.|A map learned in one city may mislead you in another, even when some streets look familiar.|Accuracy is 90% at the source site and 70% at a new site. What is the absolute gap?|20 percentage points ~ 20% relative decline exactly ~ 70 percentage points ~ 160 percentage points|Subtract 70 from 90. The relative decline would use 90 as its denominator; the gap alone does not identify the cause of the shift.
